DSID,gq_scaled,gqd_scaled,mass,width,branching_ratio,cross_section
101039,0.003,0.02,3000,4.467e-02,0.7123624,0.007496999999999999
101040,0.003,0.02,3500,5.213e-02,0.7121986,0.002606
101041,0.003,0.025,600,0.01227,0.8055737,15.760000000000002
101042,0.003,0.025,800,0.01650,0.8008240,5.274
101043,0.003,0.025,1000,2.071e-02,0.7984905,2.1500000000000004
101044,0.003,0.025,1200,2.491e-02,0.7971902,0.9936999999999999
101045,0.003,0.025,1500,3.120e-02,0.7961101,0.3638
101046,0.003,0.025,1800,3.748e-02,0.7955173,0.1508
101047,0.003,0.025,2200,4.585e-02,0.7950693,0.052829999999999995
101048,0.003,0.025,2600,5.421e-02,0.7948106,0.02036
101049,0.003,0.025,3000,6.257e-02,0.7946478,0.008363
101050,0.003,0.025,3500,7.302e-02,0.7945174,0.002907
101051,0.003,0.03,600,0.01661,0.8564539,16.759999999999998
101052,0.003,0.03,800,0.02231,0.8527200,5.616
101053,0.003,0.03,1000,2.799e-02,0.8508813,2.2910000000000004
101054,0.003,0.03,1200,3.365e-02,0.8498555,1.059
101055,0.003,0.03,1500,4.213e-02,0.8490027,0.38799999999999996
101056,0.003,0.03,1800,5.060e-02,0.8485345,0.1609
101057,0.003,0.03,2200,6.189e-02,0.8481804,0.05636
101058,0.003,0.03,2600,7.317e-02,0.8479759,0.02172
101059,0.003,0.03,3000,8.445e-02,0.8478473,0.008922000000000001
101060,0.003,0.03,3500,9.854e-02,0.8477441,0.0031019999999999997
101061,0.003,0.035,600,0.02175,0.8903622,17.419999999999998
101062,0.003,0.035,800,0.02918,0.8873943,5.844
101063,0.003,0.035,1000,3.659e-02,0.8859305,2.3850000000000002
101064,0.003,0.035,1200,4.398e-02,0.8851133,1.103
101065,0.003,0.035,1500,5.505e-02,0.8844335,0.4042
101066,0.003,0.035,1800,6.611e-02,0.8840602,0.1676
101067,0.003,0.035,2200,8.085e-02,0.8837778,0.05872
101068,0.003,0.035,2600,9.558e-02,0.8836147,0.02263
101069,0.003,0.035,3000,1.103e-01,0.8835121,0.009298
101070,0.003,0.035,3500,1.287e-01,0.8834298,0.0032329999999999998
101071,0.003,0.04,600,0.02768,0.9138447,17.880000000000003
101072,0.003,0.04,800,0.03711,0.9114492,6.002000000000001
101073,0.003,0.04,1000,4.651e-02,0.9102665,2.451
101074,0.003,0.04,1200,5.590e-02,0.9096059,1.1340000000000001
101075,0.003,0.04,1500,6.996e-02,0.9090561,0.4154
101076,0.003,0.04,1800,8.400e-02,0.9087541,0.1723
101077,0.003,0.04,2200,1.027e-01,0.9085256,0.060360000000000004
101078,0.003,0.04,2600,1.214e-01,0.9083937,0.02327
101079,0.003,0.04,3000,1.401e-01,0.9083106,0.009558
101080,0.003,0.04,3500,1.635e-01,0.9082440,0.003324
101081,0.003,0.045,600,0.03440,0.9306731,18.21
101082,0.003,0.045,800,0.04610,0.9287090,6.1160000000000005
101083,0.003,0.045,1000,5.776e-02,0.9277386,2.498
101084,0.003,0.045,1200,6.940e-02,0.9271963,1.1560000000000001
101085,0.003,0.045,1500,8.685e-02,0.9267449,0.4235
101086,0.003,0.045,1800,1.043e-01,0.9264969,0.1757
101087,0.003,0.045,2200,1.275e-01,0.9263092,0.06153999999999999
101088,0.003,0.045,2600,1.507e-01,0.9262008,0.02372
101089,0.003,0.045,3000,1.740e-01,0.9261326,0.009746
101090,0.003,0.045,3500,2.030e-01,0.9260779,0.003389
101091,0.003,0.05,600,0.04191,0.9430957,18.450000000000003
101092,0.003,0.05,800,0.05614,0.9414614,6.199
101093,0.003,0.05,1000,7.033e-02,0.9406534,2.528
101094,0.003,0.05,1200,8.450e-02,0.9402018,1.172
101095,0.003,0.05,1500,1.057e-01,0.9398258,0.4295
101096,0.003,0.05,1800,1.269e-01,0.9396192,0.1781
101097,0.003,0.05,2200,1.552e-01,0.9394629,0.062419999999999996
101098,0.003,0.05,2600,1.835e-01,0.9393725,0.024059999999999998
101099,0.003,0.05,3000,2.117e-01,0.9393157,0.009883999999999999
101100,0.003,0.05,3500,2.471e-01,0.9392701,0.003437
101101,0.003,0.055,600,0.05021,0.9525025,18.63
101102,0.003,0.055,800,0.06724,0.9511244,6.263
101103,0.003,0.055,1000,8.422e-02,0.9504428,2.554
101104,0.003,0.055,1200,1.012e-01,0.9500617,1.184
101105,0.003,0.055,1500,1.266e-01,0.9497444,0.434
101106,0.003,0.055,1800,1.520e-01,0.9495701,0.18
101107,0.003,0.055,2200,1.858e-01,0.9494381,0.06308000000000001
101108,0.003,0.055,2600,2.197e-01,0.9493619,0.024319999999999998
101109,0.003,0.055,3000,2.535e-01,0.9493139,0.009989
101110,0.003,0.055,3500,2.958e-01,0.9492754,0.003474
101111,0.003,0.06,600,0.05930,0.9597838,18.78
101112,0.003,0.06,800,0.07939,0.9586078,6.312
101113,0.003,0.06,1000,9.944e-02,0.9580260,2.5749999999999997
101114,0.003,0.06,1200,1.195e-01,0.9577006,1.194
101115,0.003,0.06,1500,1.494e-01,0.9574297,0.4375
101116,0.003,0.06,1800,1.794e-01,0.9572807,0.1814
101117,0.003,0.06,2200,2.194e-01,0.9571681,0.06359000000000001
101118,0.003,0.06,2600,2.593e-01,0.9571029,0.02451
101119,0.003,0.06,3000,2.993e-01,0.9570620,0.01007
101120,0.003,0.06,3500,3.492e-01,0.9570291,0.003502
101121,0.003,0.065,600,0.06918,0.9655279,18.89
101122,0.003,0.065,800,0.09261,0.9645136,6.351
101123,0.003,0.065,1000,1.160e-01,0.9640117,2.5900000000000003
101124,0.003,0.065,1200,1.393e-01,0.9637310,1.201
101125,0.003,0.065,1500,1.743e-01,0.9634972,0.4402
101126,0.003,0.065,1800,2.092e-01,0.9633687,0.1826
101127,0.003,0.065,2200,2.558e-01,0.9632714,0.064
101128,0.003,0.065,2600,3.024e-01,0.9632152,0.024669999999999997
101129,0.003,0.065,3000,3.490e-01,0.9631799,0.01014
101130,0.003,0.065,3500,4.072e-01,0.9631515,0.003525
101131,0.003,0.07,600,0.07985,0.9701348,18.98
101132,0.003,0.07,800,0.10688,0.9692517,6.382
101133,0.003,0.07,1000,1.338e-01,0.9688147,2.6029999999999998
101134,0.003,0.07,1200,1.608e-01,0.9685702,1.207
101135,0.003,0.07,1500,2.011e-01,0.9683666,0.4425
101136,0.003,0.07,1800,2.414e-01,0.9682546,0.1835
101137,0.003,0.07,2200,2.952e-01,0.9681699,0.06432
101138,0.003,0.07,2600,3.489e-01,0.9681210,0.0248
101139,0.003,0.07,3000,4.027e-01,0.9680902,0.010190000000000001
101140,0.003,0.07,3500,4.698e-01,0.9680655,0.0035429999999999997
101141,0.003,0.075,600,0.09131,0.9738835,19.049999999999997
101142,0.003,0.075,800,0.12221,0.9731083,6.407
101143,0.003,0.075,1000,1.530e-01,0.9727245,2.614
101144,0.003,0.075,1200,1.838e-01,0.9725098,1.212
101145,0.003,0.075,1500,2.299e-01,0.9723309,0.4443
101146,0.003,0.075,1800,2.760e-01,0.9722326,0.1843
101147,0.003,0.075,2200,3.375e-01,0.9721583,0.06459
101148,0.003,0.075,2600,3.989e-01,0.9721153,0.024909999999999998
101149,0.003,0.075,3000,4.604e-01,0.9720882,0.01023
101150,0.003,0.075,3500,5.371e-01,0.9720665,0.003558
101151,0.003,0.08,600,0.10357,0.9769733,19.110000000000003
101152,0.003,0.08,800,0.13859,0.9762875,6.428
101153,0.003,0.08,1000,1.735e-01,0.9759479,2.623
101154,0.003,0.08,1200,2.084e-01,0.9757580,1.2160000000000002
101155,0.003,0.08,1500,2.607e-01,0.9755997,0.4458
101156,0.003,0.08,1800,3.130e-01,0.9755128,0.18489999999999998
101157,0.003,0.08,2200,3.827e-01,0.9754469,0.0648
101158,0.003,0.08,2600,4.524e-01,0.9754089,0.02498
101159,0.003,0.08,3000,5.220e-01,0.9753850,0.01026
101160,0.003,0.08,3500,6.091e-01,0.9753658,0.0035710000000000004
101161,0.003,0.085,600,0.11661,0.9795488,19.16
101162,0.003,0.085,800,0.15603,0.9789381,6.445
101163,0.003,0.085,1000,1.954e-01,0.9786357,2.63
101164,0.003,0.085,1200,2.346e-01,0.9784665,1.219
101165,0.003,0.085,1500,2.935e-01,0.9783255,0.447
101166,0.003,0.085,1800,3.524e-01,0.9782481,0.1854
101167,0.003,0.085,2200,4.308e-01,0.9781894,0.06499
101168,0.003,0.085,2600,5.092e-01,0.9781555,0.02505
101169,0.003,0.085,3000,5.876e-01,0.9781342,0.01029
101170,0.003,0.085,3500,6.856e-01,0.9781171,0.003581
101171,0.003,0.09,600,0.13044,0.9817177,19.2
101172,0.003,0.09,800,0.17453,0.9811705,6.46
101173,0.003,0.09,1000,2.185e-01,0.9808995,2.6359999999999997
101174,0.003,0.09,1200,2.625e-01,0.9807478,1.222
101175,0.003,0.09,1500,3.283e-01,0.9806215,0.448
101176,0.003,0.09,1800,3.941e-01,0.9805521,0.18580000000000002
101177,0.003,0.09,2200,4.819e-01,0.9804996,0.06514
101178,0.003,0.09,2600,5.696e-01,0.9804692,0.02511
101179,0.003,0.09,3000,6.573e-01,0.9804501,0.010320000000000001
101180,0.003,0.09,3500,7.669e-01,0.9804347,0.00359
101181,0.003,0.095,600,0.14507,0.9835607,19.24
101182,0.003,0.095,800,0.19409,0.9830677,6.473
101183,0.003,0.095,1000,2.430e-01,0.9828235,2.641
101184,0.003,0.095,1200,2.918e-01,0.9826869,1.2249999999999999
101185,0.003,0.095,1500,3.651e-01,0.9825731,0.4489
101186,0.003,0.095,1800,4.383e-01,0.9825105,0.1862
101187,0.003,0.095,2200,5.358e-01,0.9824632,0.06527
101188,0.003,0.095,2600,6.333e-01,0.9824358,0.025160000000000002
101189,0.003,0.095,3000,7.308e-01,0.9824186,0.01034
101190,0.003,0.095,3500,8.527e-01,0.9824048,0.003603
101191,0.003,0.1,600,0.16048,0.9851397,19.27
101192,0.003,0.1,800,0.21470,0.9846933,6.483
101193,0.003,0.1,1000,2.688e-01,0.9844722,2.645
101194,0.003,0.1,1200,3.228e-01,0.9843485,1.227
101195,0.003,0.1,1500,4.038e-01,0.9842454,0.44980000000000003
101196,0.003,0.1,1800,4.848e-01,0.9841888,0.1865
101197,0.003,0.1,2200,5.927e-01,0.9841459,0.06538
101198,0.003,0.1,2600,7.006e-01,0.9841211,0.02521
101199,0.003,0.1,3000,8.084e-01,0.9841055,0.01036
101200,0.003,0.1,3500,9.432e-01,0.9840930,0.003609
101201,0.0035,0.005,600,0.00364,0.1085464,2.891
101202,0.0035,0.005,800,0.00500,0.1056727,0.9472
101203,0.0035,0.005,1000,6.343e-03,0.1043041,0.38220000000000004
101204,0.0035,0.005,1200,7.672e-03,0.1035533,0.1757
101205,0.0035,0.005,1500,9.653e-03,0.1029360,0.06403
101206,0.0035,0.005,1800,1.163e-02,0.1025996,0.02648
101207,0.0035,0.005,2200,1.425e-02,0.1023465,0.009257
101208,0.0035,0.005,2600,1.686e-02,0.1022008,0.003564
101209,0.0035,0.005,3000,1.948e-02,0.1021093,0.001463
101210,0.0035,0.005,3500,2.274e-02,0.1020360,0.0005082999999999999
101211,0.0035,0.01,600,0.00483,0.3275292,8.722000000000001
101212,0.0035,0.01,800,0.00659,0.3209454,2.8770000000000002
101213,0.0035,0.01,1000,8.327e-03,0.3177792,1.165
101214,0.0035,0.01,1200,1.006e-02,0.3160340,0.5362
101215,0.0035,0.01,1500,1.263e-02,0.3145947,0.1957
101216,0.0035,0.01,1800,1.520e-02,0.3138086,0.08098
101217,0.0035,0.01,2200,1.862e-02,0.3132163,0.02833
101218,0.0035,0.01,2600,2.204e-02,0.3128750,0.01091
101219,0.0035,0.01,3000,2.544e-02,0.3126606,0.004479
101220,0.0035,0.01,3500,2.970e-02,0.3124888,0.001557
101221,0.0035,0.015,600,0.00680,0.5228712,13.92
101222,0.0035,0.015,800,0.00923,0.5153701,4.62
101223,0.0035,0.015,1000,1.163e-02,0.5117313,1.875
101224,0.0035,0.015,1200,1.403e-02,0.5097168,0.8648
101225,0.0035,0.015,1500,1.760e-02,0.5080504,0.316
101226,0.0035,0.015,1800,2.117e-02,0.5071387,0.1309
101227,0.0035,0.015,2200,2.591e-02,0.5064508,0.0458
101228,0.0035,0.015,2600,3.065e-02,0.5060541,0.01765
101229,0.0035,0.015,3000,3.539e-02,0.5058048,0.007245
101230,0.0035,0.015,3500,4.131e-02,0.5056049,0.0025180000000000003
101231,0.0035,0.02,600,0.00957,0.6608116,17.6
101232,0.0035,0.02,800,0.01293,0.6540442,5.8629999999999995
101233,0.0035,0.02,1000,1.627e-02,0.6507410,2.3850000000000002
101234,0.0035,0.02,1200,1.959e-02,0.6489066,1.101
101235,0.0035,0.02,1500,2.456e-02,0.6473860,0.4027
101236,0.0035,0.02,1800,2.952e-02,0.6465528,0.1668
101237,0.0035,0.02,2200,3.612e-02,0.6459237,0.05842
101238,0.0035,0.02,2600,4.272e-02,0.6455606,0.022510000000000002
101239,0.0035,0.02,3000,4.931e-02,0.6453323,0.009244
101240,0.0035,0.02,3500,5.755e-02,0.6451493,0.003214
101241,0.0035,0.025,600,0.01313,0.7527252,20.05
101242,0.0035,0.025,800,0.01769,0.7470898,6.696999999999999
101243,0.0035,0.025,1000,2.222e-02,0.7443277,2.7279999999999998
101244,0.0035,0.025,1200,2.674e-02,0.7427906,1.26
101245,0.0035,0.025,1500,3.350e-02,0.7415146,0.4612
101246,0.0035,0.025,1800,4.025e-02,0.7408149,0.19119999999999998
101247,0.0035,0.025,2200,4.924e-02,0.7402861,0.06695
101248,0.0035,0.025,2600,5.823e-02,0.7399808,0.0258
101249,0.0035,0.025,3000,6.721e-02,0.7397888,0.0106
101250,0.0035,0.025,3500,7.844e-02,0.7396349,0.003684
101251,0.0035,0.03,600,0.01747,0.8142466,21.68
101252,0.0035,0.03,800,0.02350,0.8096587,7.257000000000001
101253,0.0035,0.03,1000,2.950e-02,0.8074038,2.959
101254,0.0035,0.03,1200,3.548e-02,0.8061471,1.368
101255,0.0035,0.03,1500,4.443e-02,0.8051030,0.5008
101256,0.0035,0.03,1800,5.337e-02,0.8045300,0.2076
101257,0.0035,0.03,2200,6.528e-02,0.8040968,0.07272
101258,0.0035,0.03,2600,7.719e-02,0.8038467,0.02803
101259,0.0035,0.03,3000,8.909e-02,0.8036894,0.01151
101260,0.0035,0.03,3500,1.040e-01,0.8035632,0.0040030000000000005
101261,0.0035,0.035,600,0.02261,0.8564539,22.81
101262,0.0035,0.035,800,0.03037,0.8527200,7.643
101263,0.0035,0.035,1000,3.810e-02,0.8508813,3.118
101264,0.0035,0.035,1200,4.581e-02,0.8498555,1.442
101265,0.0035,0.035,1500,5.735e-02,0.8490027,0.5281
101266,0.0035,0.035,1800,6.888e-02,0.8485345,0.219
101267,0.0035,0.035,2200,8.424e-02,0.8481804,0.07671
101268,0.0035,0.035,2600,9.960e-02,0.8479759,0.02957
101269,0.0035,0.035,3000,1.149e-01,0.8478473,0.01214
101270,0.0035,0.035,3500,1.341e-01,0.8477441,0.004223
101271,0.0035,0.04,600,0.02854,0.8862713,23.6
101272,0.0035,0.04,800,0.03830,0.8832072,7.916
101273,0.0035,0.04,1000,4.802e-02,0.8816963,3.231
101274,0.0035,0.04,1200,5.772e-02,0.8808528,1.494
101275,0.0035,0.04,1500,7.225e-02,0.8801512,0.5474
101276,0.0035,0.04,1800,8.677e-02,0.8797659,0.227
101277,0.0035,0.04,2200,1.061e-01,0.8794745,0.07953
101278,0.0035,0.04,2600,1.254e-01,0.8793062,0.030659999999999996
101279,0.0035,0.04,3000,1.448e-01,0.8792003,0.01259
101280,0.0035,0.04,3500,1.689e-01,0.8791153,0.004379
101281,0.0035,0.045,600,0.03526,0.9079430,24.18
101282,0.0035,0.045,800,0.04728,0.9054004,8.115
101283,0.0035,0.045,1000,5.927e-02,0.9041454,3.3129999999999997
101284,0.0035,0.045,1200,7.123e-02,0.9034445,1.533
101285,0.0035,0.045,1500,8.915e-02,0.9028613,0.5616000000000001
101286,0.0035,0.045,1800,1.070e-01,0.9025409,0.2329
101287,0.0035,0.045,2200,1.309e-01,0.9022986,0.0816
101288,0.0035,0.045,2600,1.547e-01,0.9021586,0.03145
101289,0.0035,0.045,3000,1.786e-01,0.9020705,0.01292
101290,0.0035,0.045,3500,2.084e-01,0.9019999,0.0044930000000000005
101291,0.0035,0.05,600,0.04277,0.9241064,24.61
101292,0.0035,0.05,800,0.05733,0.9219719,8.263
101293,0.0035,0.05,1000,7.184e-02,0.9209176,3.3689999999999998
101294,0.0035,0.05,1200,8.632e-02,0.9203284,1.561
101295,0.0035,0.05,1500,1.080e-01,0.9198382,0.5720999999999999
101296,0.0035,0.05,1800,1.297e-01,0.9195688,0.23729999999999998
101297,0.0035,0.05,2200,1.586e-01,0.9193650,0.08314
101298,0.0035,0.05,2600,1.875e-01,0.9192473,0.03205
101299,0.0035,0.05,3000,2.164e-01,0.9191732,0.01316
101300,0.0035,0.05,3500,2.525e-01,0.9191138,0.004578
101301,0.0035,0.055,600,0.05107,0.9364408,24.939999999999998
101302,0.0035,0.055,800,0.06842,0.9346287,8.376999999999999
101303,0.0035,0.055,1000,8.573e-02,0.9337331,3.415
101304,0.0035,0.055,1200,1.030e-01,0.9332325,1.583
101305,0.0035,0.055,1500,1.289e-01,0.9328158,0.5801999999999999
101306,0.0035,0.055,1800,1.548e-01,0.9325869,0.24060000000000004
101307,0.0035,0.055,2200,1.892e-01,0.9324137,0.08432
101308,0.0035,0.055,2600,2.237e-01,0.9323136,0.0325
101309,0.0035,0.055,3000,2.581e-01,0.9322506,0.01335
101310,0.0035,0.055,3500,3.012e-01,0.9322001,0.0046429999999999996
101311,0.0035,0.06,600,0.06016,0.9460449,25.19
101312,0.0035,0.06,800,0.08058,0.9444903,8.465
101313,0.0035,0.06,1000,1.009e-01,0.9437217,3.452
101314,0.0035,0.06,1200,1.213e-01,0.9432920,1.5999999999999999
101315,0.0035,0.06,1500,1.517e-01,0.9429343,0.5865
101316,0.0035,0.06,1800,1.822e-01,0.9427377,0.2432
101317,0.0035,0.06,2200,2.228e-01,0.9425889,0.08524
101318,0.0035,0.06,2600,2.633e-01,0.9425030,0.03286
101319,0.0035,0.06,3000,3.039e-01,0.9424489,0.0135
101320,0.0035,0.06,3500,3.546e-01,0.9424055,0.004693999999999999
101321,0.0035,0.065,600,0.07004,0.9536565,25.39
101322,0.0035,0.065,800,0.09379,0.9523102,8.535
101323,0.0035,0.065,1000,1.175e-01,0.9516443,3.481
101324,0.0035,0.065,1200,1.411e-01,0.9512720,1.6139999999999999
101325,0.0035,0.065,1500,1.766e-01,0.9509620,0.5913999999999999
101326,0.0035,0.065,1800,2.120e-01,0.9507916,0.24530000000000002
101327,0.0035,0.065,2200,2.592e-01,0.9506627,0.08596999999999999
101328,0.0035,0.065,2600,3.064e-01,0.9505882,0.033139999999999996
101329,0.0035,0.065,3000,3.536e-01,0.9505413,0.01361
101330,0.0035,0.065,3500,4.126e-01,0.9505037,0.004735
101331,0.0035,0.07,600,0.08071,0.9597838,25.56
101332,0.0035,0.07,800,0.10806,0.9586078,8.591
101333,0.0035,0.07,1000,1.353e-01,0.9580260,3.504
101334,0.0035,0.07,1200,1.626e-01,0.9577006,1.625
101335,0.0035,0.07,1500,2.034e-01,0.9574297,0.5954999999999999
101336,0.0035,0.07,1800,2.442e-01,0.9572807,0.2469
101337,0.0035,0.07,2200,2.986e-01,0.9571681,0.08655
101338,0.0035,0.07,2600,3.530e-01,0.9571029,0.03338
101339,0.0035,0.07,3000,4.073e-01,0.9570620,0.01371
101340,0.0035,0.07,3500,4.753e-01,0.9570291,0.004768
101341,0.0035,0.075,600,0.09217,0.9647847,25.69
101342,0.0035,0.075,800,0.12339,0.9637494,8.637
101343,0.0035,0.075,1000,1.545e-01,0.9632371,3.523
101344,0.0035,0.075,1200,1.856e-01,0.9629505,1.634
101345,0.0035,0.075,1500,2.322e-01,0.9627119,0.5987
101346,0.0035,0.075,1800,2.788e-01,0.9625807,0.24830000000000002
101347,0.0035,0.075,2200,3.409e-01,0.9624815,0.08703000000000001
101348,0.0035,0.075,2600,4.029e-01,0.9624241,0.03356
101349,0.0035,0.075,3000,4.650e-01,0.9623881,0.01378
101350,0.0035,0.075,3500,5.425e-01,0.9623591,0.004795
101351,0.0035,0.08,600,0.10443,0.9689165,25.8
101352,0.0035,0.08,800,0.13978,0.9679986,8.675
101353,0.0035,0.08,1000,1.750e-01,0.9675444,3.5389999999999997
101354,0.0035,0.08,1200,2.103e-01,0.9672902,1.641
101355,0.0035,0.08,1500,2.630e-01,0.9670786,0.6013999999999999
101356,0.0035,0.08,1800,3.158e-01,0.9669623,0.24939999999999998
101357,0.0035,0.08,2200,3.861e-01,0.9668743,0.08743
101358,0.0035,0.08,2600,4.564e-01,0.9668234,0.0337
101359,0.0035,0.08,3000,5.266e-01,0.9667914,0.01385
101360,0.0035,0.08,3500,6.145e-01,0.9667657,0.004817
101361,0.0035,0.085,600,0.11747,0.9723678,25.89
101362,0.0035,0.085,800,0.15722,0.9715488,8.706999999999999
101363,0.0035,0.085,1000,1.969e-01,0.9711434,3.552
101364,0.0035,0.085,1200,2.365e-01,0.9709166,1.647
101365,0.0035,0.085,1500,2.958e-01,0.9707278,0.6037
101366,0.0035,0.085,1800,3.551e-01,0.9706239,0.2504
101367,0.0035,0.085,2200,4.342e-01,0.9705454,0.08776
101368,0.0035,0.085,2600,5.133e-01,0.9705000,0.03383
101369,0.0035,0.085,3000,5.923e-01,0.9704714,0.013900000000000001
101370,0.0035,0.085,3500,6.911e-01,0.9704485,0.004836
101371,0.0035,0.09,600,0.13130,0.9752789,25.97
101372,0.0035,0.09,800,0.17572,0.9745440,8.734
101373,0.0035,0.09,1000,2.200e-01,0.9741802,3.563
101374,0.0035,0.09,1200,2.643e-01,0.9739766,1.652
101375,0.0035,0.09,1500,3.306e-01,0.9738071,0.6055999999999999
101376,0.0035,0.09,1800,3.969e-01,0.9737139,0.25120000000000003
101377,0.0035,0.09,2200,4.852e-01,0.9736433,0.08804
101378,0.0035,0.09,2600,5.736e-01,0.9736026,0.03394
101379,0.0035,0.09,3000,6.619e-01,0.9735769,0.013949999999999999
101380,0.0035,0.09,3500,7.723e-01,0.9735563,0.004852
101381,0.0035,0.095,600,0.14593,0.9777563,26.03
101382,0.0035,0.095,800,0.19527,0.9770933,8.756
101383,0.0035,0.095,1000,2.445e-01,0.9767650,3.572
101384,0.0035,0.095,1200,2.937e-01,0.9765814,1.657
101385,0.0035,0.095,1500,3.674e-01,0.9764284,0.6072
101386,0.0035,0.095,1800,4.410e-01,0.9763443,0.2518
101387,0.0035,0.095,2200,5.392e-01,0.9762806,0.08828
101388,0.0035,0.095,2600,6.373e-01,0.9762438,0.03403
101389,0.0035,0.095,3000,7.355e-01,0.9762207,0.01398
101390,0.0035,0.095,3500,8.581e-01,0.9762021,0.004873
101391,0.0035,0.1,600,0.16134,0.9798814,26.09
101392,0.0035,0.1,800,0.21588,0.9792804,8.776
101393,0.0035,0.1,1000,2.703e-01,0.9789828,3.581
101394,0.0035,0.1,1200,3.247e-01,0.9788163,1.66
101395,0.0035,0.1,1500,4.061e-01,0.9786776,0.6088
101396,0.0035,0.1,1800,4.875e-01,0.9786014,0.2524
101397,0.0035,0.1,2200,5.961e-01,0.9785436,0.08847999999999999
101398,0.0035,0.1,2600,7.046e-01,0.9785103,0.03411
101399,0.0035,0.1,3000,8.131e-01,0.9784893,0.014020000000000001
101400,0.0035,0.1,3500,9.486e-01,0.9784725,0.004884
101401,0.004,0.005,600,0.00463,0.0852753,2.966
101402,0.004,0.005,800,0.00637,0.0829604,0.9712999999999999
101403,0.004,0.005,1000,8.082e-03,0.0818590,0.3918
101404,0.004,0.005,1200,9.777e-03,0.0812551,0.1801
101405,0.004,0.005,1500,1.230e-02,0.0807587,0.06561
101406,0.004,0.005,1800,1.482e-02,0.0804883,0.027129999999999998
101407,0.004,0.005,2200,1.816e-02,0.0802849,0.009484000000000001
101408,0.004,0.005,2600,2.150e-02,0.0801677,0.0036509999999999997
101409,0.004,0.005,3000,2.483e-02,0.0800942,0.0014990000000000001
101410,0.004,0.005,3500,2.899e-02,0.0800354,0.0005206999999999999
101411,0.004,0.01,600,0.00582,0.2716150,9.447
101412,0.004,0.01,800,0.00796,0.2657110,3.1109999999999998
101413,0.004,0.01,1000,1.007e-02,0.2628788,1.258
101414,0.004,0.01,1200,1.216e-02,0.2613197,0.5791
101415,0.004,0.01,1500,1.528e-02,0.2600346,0.2113
101416,0.004,0.01,1800,1.840e-02,0.2593334,0.08741
101417,0.004,0.01,2200,2.254e-02,0.2588051,0.030570000000000003
101418,0.004,0.01,2600,2.667e-02,0.2585008,0.011770000000000001
101419,0.004,0.01,3000,3.080e-02,0.2583096,0.0048330000000000005
101420,0.004,0.01,3500,3.596e-02,0.2581565,0.00168
101421,0.004,0.015,600,0.00780,0.4562338,15.87
101422,0.004,0.015,800,0.01060,0.4487894,5.2540000000000004
101423,0.004,0.015,1000,1.337e-02,0.4451889,2.1310000000000002
101424,0.004,0.015,1200,1.613e-02,0.4431986,0.9821000000000001
101425,0.004,0.015,1500,2.025e-02,0.4415538,0.3587
101426,0.004,0.015,1800,2.436e-02,0.4406546,0.14850000000000002
101427,0.004,0.015,2200,2.983e-02,0.4399764,0.05197
101428,0.004,0.015,2600,3.529e-02,0.4395853,0.02002
101429,0.004,0.015,3000,4.074e-02,0.4393396,0.00822
101430,0.004,0.015,3500,4.756e-02,0.4391427,0.002857
101431,0.004,0.02,600,0.01056,0.5986516,20.82
101432,0.004,0.02,800,0.01430,0.5914109,6.924
101433,0.004,0.02,1000,1.800e-02,0.5878865,2.814
101434,0.004,0.02,1200,2.169e-02,0.5859320,1.2979999999999998
101435,0.004,0.02,1500,2.721e-02,0.5843134,0.47469999999999996
101436,0.004,0.02,1800,3.271e-02,0.5834271,0.1967
101437,0.004,0.02,2200,4.004e-02,0.5827581,0.06884
101438,0.004,0.02,2600,4.735e-02,0.5823721,0.02652
101439,0.004,0.02,3000,5.467e-02,0.5821295,0.01089
101440,0.004,0.02,3500,6.380e-02,0.5819350,0.003786
101441,0.004,0.025,600,0.01412,0.6997562,24.34
101442,0.004,0.025,800,0.01906,0.6934053,8.117999999999999
101443,0.004,0.025,1000,2.396e-02,0.6903000,3.304
101444,0.004,0.025,1200,2.884e-02,0.6885739,1.526
101445,0.004,0.025,1500,3.615e-02,0.6871423,0.5583
101446,0.004,0.025,1800,4.345e-02,0.6863576,0.2313
101447,0.004,0.025,2200,5.316e-02,0.6857649,0.08101
101448,0.004,0.025,2600,6.287e-02,0.6854227,0.031209999999999998
101449,0.004,0.025,3000,7.257e-02,0.6852076,0.01282
101450,0.004,0.025,3500,8.469e-02,0.6850352,0.004457
101451,0.004,0.03,600,0.01847,0.7704370,26.8
101452,0.004,0.03,800,0.02487,0.7650793,8.957
101453,0.004,0.03,1000,3.124e-02,0.7624512,3.649
101454,0.004,0.03,1200,3.758e-02,0.7609880,1.686
101455,0.004,0.03,1500,4.708e-02,0.7597731,0.6172
101456,0.004,0.03,1800,5.657e-02,0.7591067,0.2559
101457,0.004,0.03,2200,6.920e-02,0.7586031,0.08961000000000001
101458,0.004,0.03,2600,8.182e-02,0.7583123,0.03453
101459,0.004,0.03,3000,9.444e-02,0.7581295,0.01418
101460,0.004,0.03,3500,1.102e-01,0.7579829,0.004931
101461,0.004,0.035,600,0.02361,0.8204032,28.540000000000003
101462,0.004,0.035,800,0.03174,0.8159330,9.552
101463,0.004,0.035,1000,3.984e-02,0.8137354,3.895
101464,0.004,0.035,1200,4.791e-02,0.8125104,1.7999999999999998
101465,0.004,0.035,1500,6.000e-02,0.8114925,0.6593
101466,0.004,0.035,1800,7.207e-02,0.8109339,0.2733
