DSID,gq_scaled,gqd_scaled,mass,width,branching_ratio,cross_section
100082,0.0005,0.045,800,0.04290,0.9978722,0.1825
100083,0.0005,0.045,1000,5.370e-02,0.9978411,0.07462
100084,0.0005,0.045,1200,6.449e-02,0.9978236,0.034550000000000004
100085,0.0005,0.045,1500,8.066e-02,0.9978091,0.01267
100086,0.0005,0.045,1800,9.683e-02,0.9978011,0.005255
100087,0.0005,0.045,2200,1.184e-01,0.9977951,0.001842
100088,0.0005,0.045,2600,1.399e-01,0.9977916,0.00071
100089,0.0005,0.045,3000,1.615e-01,0.9977894,0.0002917
100090,0.0005,0.045,3500,1.884e-01,0.9977876,0.0001014
100091,0.0005,0.05,600,0.03959,0.9983268,0.5425
100092,0.0005,0.05,800,0.05294,0.9982758,0.1826
100093,0.0005,0.05,1000,6.627e-02,0.9982505,0.07451999999999999
100094,0.0005,0.05,1200,7.959e-02,0.9982364,0.03456
100095,0.0005,0.05,1500,9.954e-02,0.9982246,0.01267
100096,0.0005,0.05,1800,1.195e-01,0.9982182,0.005257
100097,0.0005,0.05,2200,1.461e-01,0.9982133,0.001842
100098,0.0005,0.05,2600,1.727e-01,0.9982104,0.0007102
100099,0.0005,0.05,3000,1.992e-01,0.9982086,0.0002918
100100,0.0005,0.05,3500,2.325e-01,0.9982072,0.0001015
100101,0.0005,0.055,600,0.04789,0.9986167,0.5427
100102,0.0005,0.055,800,0.06404,0.9985746,0.1827
100103,0.0005,0.055,1000,8.016e-02,0.9985537,0.07454000000000001
100104,0.0005,0.055,1200,9.627e-02,0.9985420,0.03457
100105,0.0005,0.055,1500,1.204e-01,0.9985323,0.01267
100106,0.0005,0.055,1800,1.445e-01,0.9985269,0.005257
100107,0.0005,0.055,2200,1.767e-01,0.9985229,0.001843
100108,0.0005,0.055,2600,2.089e-01,0.9985205,0.0007104
100109,0.0005,0.055,3000,2.410e-01,0.9985191,0.0002919
100110,0.0005,0.055,3500,2.812e-01,0.9985179,0.0001015
100111,0.0005,0.06,600,0.05698,0.9988374,0.5428000000000001
100112,0.0005,0.06,800,0.07620,0.9988020,0.1827
100113,0.0005,0.06,1000,9.538e-02,0.9987845,0.07456
100114,0.0005,0.06,1200,1.145e-01,0.9987746,0.03458
100115,0.0005,0.06,1500,1.433e-01,0.9987664,0.01268
100116,0.0005,0.06,1800,1.720e-01,0.9987619,0.005258
100117,0.0005,0.06,2200,2.102e-01,0.9987585,0.001843
100118,0.0005,0.06,2600,2.485e-01,0.9987566,0.0007106
100119,0.0005,0.06,3000,2.868e-01,0.9987553,0.0002919
100120,0.0005,0.06,3500,3.346e-01,0.9987543,0.0001015
100121,0.0005,0.065,600,0.06686,0.9990092,0.5429
100122,0.0005,0.065,800,0.08941,0.9989790,0.1827
100123,0.0005,0.065,1000,1.119e-01,0.9989641,0.07457
100124,0.0005,0.065,1200,1.344e-01,0.9989557,0.03458
100125,0.0005,0.065,1500,1.681e-01,0.9989487,0.01268
100126,0.0005,0.065,1800,2.018e-01,0.9989449,0.005259
100127,0.0005,0.065,2200,2.467e-01,0.9989420,0.001843
100128,0.0005,0.065,2600,2.916e-01,0.9989403,0.0007107000000000001
100129,0.0005,0.065,3000,3.365e-01,0.9989392,0.00029200000000000005
100130,0.0005,0.065,3500,3.926e-01,0.9989384,0.0001016
100131,0.0005,0.07,600,0.07753,0.9991456,0.5429
100132,0.0005,0.07,800,0.10368,0.9991196,0.1827
100133,0.0005,0.07,1000,1.298e-01,0.9991067,0.07458
100134,0.0005,0.07,1200,1.559e-01,0.9990994,0.03459
100135,0.0005,0.07,1500,1.949e-01,0.9990934,0.01268
100136,0.0005,0.07,1800,2.340e-01,0.9990901,0.00526
100137,0.0005,0.07,2200,2.861e-01,0.9990876,0.001844
100138,0.0005,0.07,2600,3.381e-01,0.9990861,0.000711
100139,0.0005,0.07,3000,3.902e-01,0.9990852,0.00029200000000000005
100140,0.0005,0.07,3500,4.552e-01,0.9990845,0.0001016
100141,0.0005,0.075,600,0.08899,0.9992556,0.543
100142,0.0005,0.075,800,0.11901,0.9992330,0.1828
100143,0.0005,0.075,1000,1.490e-01,0.9992217,0.07458999999999999
100144,0.0005,0.075,1200,1.789e-01,0.9992154,0.03459
100145,0.0005,0.075,1500,2.237e-01,0.9992102,0.01268
100146,0.0005,0.075,1800,2.686e-01,0.9992073,0.00526
100147,0.0005,0.075,2200,3.284e-01,0.9992051,0.001844
100148,0.0005,0.075,2600,3.881e-01,0.9992038,0.0007111
100149,0.0005,0.075,3000,4.479e-01,0.9992030,0.0002921
100150,0.0005,0.075,3500,5.225e-01,0.9992024,0.0001016
100151,0.0005,0.08,600,0.10125,0.9993457,0.543
100152,0.0005,0.08,800,0.13539,0.9993258,0.1828
100153,0.0005,0.08,1000,1.695e-01,0.9993159,0.07458999999999999
100154,0.0005,0.08,1200,2.035e-01,0.9993104,0.03459
